PRODUCT SERVICE CODE,DESCRIPTION,NAICS
AV92,R&D - Mining: Other Mining Activities (Applied Research / Exploratory Development),"541711,541712"
AV93,R&D - Mining: Other Mining Activities (Advanced Development),"541711,541712"
AV94,R&D - Mining: Other Mining Activities (Engineering Development),"541711,541712"
AV95,R&D - Mining: Other Mining Activities (Operational Systems Development),"541711,541712"
AV96,R&D - Mining: Other Mining Activities (Management / Support),"541711,541712"
AV97,R&D - Mining: Other Mining Activities (Commercialized),"541711,541712"
AZ11,R&D - Other Research And Development (Basic Research),"541711,541712"
AZ12,R&D - Other Research And Development (Applied Research / Exploratory Development),"541711,541712"
AZ13,R&D - Other Research And Development (Advanced Development),"541711,541712"
AZ14,R&D - Other Research And Development (Engineering Development),"541711,541712"
AZ15,R&D - Other Research And Development (Operational Systems Development),"541711,541712"
AZ16,R&D - Other Research And Development (Management / Support),"541711,541712"
AZ17,R&D - Other Research And Development (Commercialized),"541711,541712"
AC11,R&D - Defense System: Aircraft (Basic Research),541712
AC11,R&D - Defense System: Aircraft (Basic Research),541712
AC12,R&D - Defense System: Aircraft (Applied Research / Exploratory Development),541712
AC12,R&D - Defense System: Aircraft (Applied Research / Exploratory Development),541712
AC13,R&D - Defense System: Aircraft (Advanced Development),541712
AC13,R&D - Defense System: Aircraft (Advanced Development),541712
AC14,R&D - Defense System: Aircraft (Engineering Development),541712
AC14,R&D - Defense System: Aircraft (Engineering Development),541712
AC15,R&D - Defense System: Aircraft (Operational Systems Development),541712
AC15,R&D - Defense System: Aircraft (Operational Systems Development),541712
AC16,R&D - Defense System: Aircraft (Management / Support),541712
AC16,R&D - Defense System: Aircraft (Management / Support),541712
AC17,R&D - Defense System: Aircraft (Commercialized),541712
AC17,R&D - Defense System: Aircraft (Commercialized),541712
AS11,R&D - Modal Transportation: Air (Basic Research),541712
AS11,R&D - Modal Transportation: Air (Basic Research),541712
AS12,R&D - Modal Transportation: Air (Applied Research / Exploratory Development),541712
AS12,R&D - Modal Transportation: Air (Applied Research / Exploratory Development),541712
AS13,R&D - Modal Transportation: Air (Advanced Development),541712
AS13,R&D - Modal Transportation: Air (Advanced Development),541712
AS14,R&D - Modal Transportation: Air (Engineering Development),541712
AS14,R&D - Modal Transportation: Air (Engineering Development),541712
AS15,R&D - Modal Transportation: Air (Operational Systems Development),541712
AS15,R&D - Modal Transportation: Air (Operational Systems Development),541712
AS16,R&D - Modal Transportation: Air (Management / Support),541712
AS16,R&D - Modal Transportation: Air (Management / Support),541712
AS17,R&D - Modal Transportation: Air (Commercialized),541712
AS17,R&D - Modal Transportation: Air (Commercialized),541712
AC21,R&D - Defense System: Missile / Space Systems (Basic Research),541712
AC22,R&D - Defense System: Missile / Space Systems (Applied Research / Exploratory Development),541712
AC23,R&D - Defense System: Missile / Space Systems (Advanced Development),541712
AC24,R&D - Defense System: Missile / Space Systems (Engineering Development),541712
AC25,R&D - Defense System: Missile / Space Systems (Operational Systems Development),541712
AC26,R&D - Defense System: Missile / Space Systems (Management / Support),541712
AC27,R&D - Defense System: Missile / Space Systems (Commercialized),541712
AR,Space R&D,541712
AR11,R&D - Space: Aeronautics / Space Technology (Basic Research),541712
AR12,R&D - Space: Aeronautics / Space Technology (Applied Research / Exploratory Development),541712
AR13,R&D - Space: Aeronautics / Space Technology (Advanced Development),541712
AR14,R&D - Space: Aeronautics / Space Technology (Engineering Development),541712
AR15,R&D - Space: Aeronautics / Space Technology (Operational Systems Development),541712
AR16,R&D - Space: Aeronautics / Space Technology (Management / Support),541712
AR17,R&D - Space: Aeronautics / Space Technology (Commercialized),541712
AR21,R&D - Space: Science / Applications (Basic Research),541712
AR22,R&D - Space: Science / Applications (Applied Research / Exploratory Development),541712
AR23,R&D - Space: Science / Applications (Advanced Development),541712
AR24,R&D - Space: Science / Applications (Engineering Development),541712
AR25,R&D - Space: Science / Applications (Operational Systems Development),541712
AR26,R&D - Space: Science / Applications (Management / Support),541712
AR27,R&D - Space: Science / Applications (Commercialized),541712
AR31,R&D - Space: Flight (Basic Research),541712
AR32,R&D - Space: Flight (Applied Research / Exploratory Development),541712
AR33,R&D - Space: Flight (Advanced Development),541712
AR34,R&D - Space: Flight (Engineering Development),541712
AR35,R&D - Space: Flight (Operational Systems Development),541712
AR36,R&D - Space: Flight (Management / Support),541712
AR37,R&D - Space: Flight (Commercialized),541712
AR41,"R&D - Space: Operations, Tracking And Data Acquisition (Basic Research) ",541712
AR42,"R&D - Space: Operations, Tracking And Data Acquisition (Applied Research / Exploratory Development) ",541712
AR43,"R&D - Space: Operations, Tracking And Data Acquisition (Advanced Development) ",541712
AR44,"R&D - Space: Operations, Tracking And Data Acquisition (Engineering Development) ",541712
AR45,"R&D - Space: Operations, Tracking And Data Acquisition (Operational Systems Development) ",541712
AR46,"R&D - Space: Operations, Tracking And Data Acquisition (Management / Support) ",541712
AR47,"R&D - Space: Operations, Tracking And Data Acquisition (Commercialized) ",541712
AR61,R&D - Space: Station (Basic Research),541712
AR62,R&D - Space: Station (Applied Research / Exploratory Development),541712
AR63,R&D - Space: Station (Advanced Development),541712
AR64,R&D - Space: Station (Engineering Development),541712
AR65,R&D - Space: Station (Operational Systems Development),541712
AR66,R&D - Space: Station (Management / Support),541712
AR67,R&D - Space: Station (Commercialized),541712
AR71,R&D - Space: Commercial Programs (Basic Research),541712
AR72,R&D - Space: Commercial Programs (Applied Research / Exploratory Development),541712
AR73,R&D - Space: Commercial Programs (Advanced Development),541712
AR74,R&D - Space: Commercial Programs (Engineering Development),541712
AR75,R&D - Space: Commercial Programs (Operational Systems Development),541712
AR76,R&D - Space: Commercial Programs (Management / Support),541712
AR77,R&D - Space: Commercial Programs (Commercialized),541712
AR91,R&D - Space: Other (Basic Research),541712
AR92,R&D - Space: Other (Applied Research / Exploratory Development),541712
AR93,R&D - Space: Other (Advanced Development),541712
AR94,R&D - Space: Other (Engineering Development),541712
AR95,R&D - Space: Other (Operational Systems Development),541712
AR96,R&D - Space: Other (Management / Support),541712
AR97,R&D - Space: Other (Commercialized),541712
